bookId,Book,Author,Genres
2093,Thirteen for Dinner,Kathleen Lopez,"['Novels', 'Contemporary', 'Mystery', 'Fiction', 'Epic']"
2094,"Along Came a Spider (Alex Cross, #1)",James Patterson,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense', 'Detective']"
2095,The Running Man,Richard Bachman,"['Horror', 'Fiction', 'Science Fiction', 'Dystopia', 'Thriller', 'Audiobook', 'Fantasy']"
2096,"Rubinrot (Edelstein-Trilogie, #1)",Kerstin Gier,"['Fantasy', 'Young Adult', 'Time Travel', 'Romance', 'Historical Fiction', 'Fiction', 'Science Fiction']"
2097,"Dancing with The Field: Bringing Joy, Passion and Play into Everyday Life",Kris Kelkar,"['Drama', 'Book Club']"
2098,The Lords of Discipline,Pat Conroy,"['Fiction', 'Historical Fiction', 'Military Fiction', 'Southern', 'Classics', 'Coming Of Age', 'Literature']"
2099,Steel Dogs,Matthew Bracey,[]
2100,Modern Romance,Aziz Ansari,"['Nonfiction', 'Humor', 'Audiobook', 'Romance', 'Comedy', 'Sociology', 'Psychology']"
2101,The Poky Little Puppy,Janette Sebring Lowrey,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Animals', 'Dogs', 'Kids']"
2102,"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,"['Science Fiction', 'Fiction', 'Cyberpunk', 'Steampunk', 'Fantasy', 'Science Fiction Fantasy', 'Speculative Fiction']"
2103,"Only Time Will Tell (The Clifton Chronicles, #1)",Jeffrey Archer,"['Fiction', 'Historical Fiction', 'Historical', 'Mystery', 'Audiobook', 'Thriller', 'Drama']"
2104,The Spirit of Prayer: The Believer's Authority on the Earth (The Sons of God Book 2),Tolulope Oyewole,"['Contemporary', 'Novels']"
2105,Death with Interruptions,José Saramago,"['Fiction', 'Fantasy', 'Magical Realism', 'Portugal', 'Portuguese Literature', 'Literature', 'Novels']"
2106,"Storm Front (The Dresden Files, #1)",Jim Butcher,"['Fantasy', 'Urban Fantasy', 'Mystery', 'Fiction', 'Paranormal', 'Magic', 'Audiobook']"
2107,Garlic and Sapphires: The Secret Life of a Critic in Disguise,Ruth Reichl,"['Nonfiction', 'Food', 'Memoir', 'Biography', 'Cooking', 'Foodie', 'Food Writing']"
2108,Voices from Chernobyl: The Oral History of a Nuclear Disaster,Svetlana Alexievich,"['Nonfiction', 'History', 'Russia', 'Science', 'Historical', 'Nobel Prize', 'Ukraine']"
2109,Holy Bible: The New King James Version,Anonymous,"['Religion', 'Christian', 'Nonfiction', 'Reference', 'Christianity', 'Theology', 'Classics']"
2110,Push,Sapphire,"['Fiction', 'Young Adult', 'Contemporary', 'African American', 'Abuse', 'Adult Fiction', 'Realistic Fiction']"
2111,The Tell-Tale Heart,Edgar Allan Poe,"['Classics', 'Short Stories', 'Horror', 'Fiction', 'Gothic', 'School', 'Mystery']"
2112,So You Want to Talk About Race,Ijeoma Oluo,"['Nonfiction', 'Race', 'Audiobook', 'Social Justice', 'Anti Racist', 'Politics', 'Sociology']"
2113,"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Space', 'Novels', 'Audiobook']"
2114,"Blackamoores: Africans in Tudor England, Their Presence, Status and Origins",Onyeka,"['History', 'Nonfiction', 'Race', 'Africa', 'Anti Racist', 'European History', 'World History']"
2115,"Say Cheese and Die! (Goosebumps, #4)",R.L. Stine,"['Horror', 'Childrens', 'Fiction', 'Middle Grade', 'Young Adult', 'Fantasy', 'Mystery']"
2116,Trafficked to Hell: A trafficked daughter's plight. A mother's fight to find her.,R.J. Flo,"['Gender', 'Feminism', 'Gender Studies', 'Nonfiction']"
2117,Lights on the Sea,Miquel Reina,"['Fiction', 'Fantasy', 'Magical Realism', 'Spanish Literature', 'Adventure', 'Contemporary', 'Adult']"
2118,The Three Privileges,A.V. Davina,"['Fantasy', 'Fiction', 'Young Adult']"
2119,"Champion (Legend, #3)",Marie Lu,"['Dystopia', 'Young Adult', 'Romance', 'Science Fiction', 'Fantasy', 'Fiction', 'Adventure']"
2120,"Delusions of Gender: How Our Minds, Society, and Neurosexism Create Difference",Cordelia Fine,"['Nonfiction', 'Feminism', 'Science', 'Psychology', 'Gender', 'Sociology', 'Gender Studies']"
2121,The You Beyond You - The Knowledge of the Willing,Ramzi Najjar,"['Spirituality', 'Self Help', 'Philosophy', 'Nonfiction', 'Inspirational']"
2122,Pedagogy of the Oppressed,Paulo Freire,"['Education', 'Nonfiction', 'Philosophy', 'Politics', 'Theory', 'Teaching', 'Social Justice']"
2123,"To Live and Die in Fantasyland (To Live, #3)",Ben Peller,"['Fantasy', 'Inspirational']"
2124,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,"['Nonfiction', 'India', 'History', 'Asia', 'Poverty', 'Sociology', 'Audiobook']"
2125,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",J.K. Rowling,"['Fantasy', 'Fiction', 'Young Adult', 'Plays', 'Magic', 'Adventure', 'Middle Grade']"
2126,"The Man Who Loved Books Too Much: The True Story of a Thief, a Detective, and a World of Literary Obsession",Allison Hoover Bartlett,"['Nonfiction', 'Books About Books', 'True Crime', 'Biography', 'Crime', 'History', 'Mystery']"
2127,Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,"['Business', 'Nonfiction', 'Psychology', 'Self Help', 'Leadership', 'Communication', 'Management']"
2128,Hallucinations,Oliver Sacks,"['Nonfiction', 'Science', 'Psychology', 'Neuroscience', 'Medicine', 'Medical', 'Audiobook']"
2129,She Said!: The Book of Quotes,Chriselda Barretto,"['Fiction', 'Contemporary', 'Adult', 'New Adult', 'Young Adult', 'Collections', 'Poetry']"
2130,Ella Minnow Pea: A Novel in Letters,Mark Dunn,"['Fiction', 'Humor', 'Fantasy', 'Young Adult', 'Dystopia', 'Contemporary', 'Adult']"
2131,Temptation and Denial,Adam Nicke,['Gothic']
2132,Generation X: Tales for an Accelerated Culture,Douglas Coupland,"['Fiction', 'Canada', 'Contemporary', 'Novels', 'Literature', 'Literary Fiction', 'Classics']"
2133,"The Summoning (Darkest Powers, #1)",Kelley Armstrong,"['Young Adult', 'Fantasy', 'Paranormal', 'Urban Fantasy', 'Supernatural', 'Romance', 'Magic']"
2134,"Origin (Robert Langdon, #5)",Dan Brown,"['Fiction', 'Thriller', 'Mystery', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Adventure']"
2135,Just Listen,Sarah Dessen,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Chick Lit', 'Teen']"
2136,"Trust: Betrayed (Trust Trilogy, #2)",Cristiane Serruya,"['Romance', 'Erotica', 'Contemporary', 'Dark', 'Erotic Romance']"
2137,Die Physiker,Friedrich Dürrenmatt,"['Classics', 'Plays', 'German Literature', 'Fiction', 'Drama', 'School', 'Read For School']"
2138,Dark Heirloom (Ema Marx #1),J.D.  Brown,"['Vampires', 'Paranormal', 'Fantasy', 'Urban Fantasy', 'Romance', 'Amazon', 'New Adult']"
2139,"Rebirth (The Keeper, #3)",O.L. Ramos,[]
2140,Marjorie Morningstar,Herman Wouk,"['Fiction', 'Classics', 'Historical Fiction', 'Romance', 'Jewish', 'Coming Of Age', 'New York']"
2141,"Jingo (Discworld, #21; City Watch, #4)",Terry Pratchett,"['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'War']"
2142,Daughter of Fortune,Isabel Allende,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Magical Realism', 'Novels', 'Literature']"
2143,The Daughter Of Kurdland: A Life Dedicated to Humankind,Widad Akreyi,"['History', 'Memoir', 'Nonfiction', 'Biography', 'Feminism', 'Sociology', 'Politics']"
2144,Big Fish,Daniel Wallace,"['Fiction', 'Fantasy', 'Magical Realism', 'Contemporary', 'Adult Fiction', 'Humor', 'Adult']"
2145,Setting the Family Free,Eric D. Goodman,"['Fiction', 'Animal Fiction']"
2146,The Boy in the Cellar,Stephen Smith,"['True Crime', 'Nonfiction', 'Audiobook', 'Biography', 'Memoir', 'Autobiography', 'Crime']"
2147,The Waves,Virginia Woolf,"['Classics', 'Fiction', 'Literature', 'Novels', '20th Century', 'Poetry', 'British Literature']"
2148,"The 5th Wave (The 5th Wave, #1)",Rick Yancey,"['Young Adult', 'Science Fiction', 'Dystopia', 'Fiction', 'Fantasy', 'Aliens', 'Romance']"
2149,"South of the Border, West of the Sun",Haruki Murakami,"['Fiction', 'Japan', 'Japanese Literature', 'Contemporary', 'Romance', 'Novels', 'Magical Realism']"
2150,Feminism Is for Everybody: Passionate Politics,bell hooks,"['Nonfiction', 'Politics', 'Feminism', 'Gender', 'Social Justice', 'Womens', 'Philosophy']"
2151,We Disappear,Scott Heim,"['Fiction', 'LGBT', 'Mystery', 'Gay', 'Queer', 'Contemporary', 'Literary Fiction']"
2152,Seven Brief Lessons on Physics,Carlo Rovelli,"['Science', 'Nonfiction', 'Physics', 'Philosophy', 'Audiobook', 'Essays', 'Popular Science']"
2153,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,A.J. Jacobs,"['Nonfiction', 'Religion', 'Humor', 'Memoir', 'Biography', 'Spirituality', 'Biography Memoir']"
2154,Om Chanting and Meditation,Amit Ray,"['Spirituality', 'Self Help', 'Inspirational', 'Religion', 'Nonfiction', 'Hinduism']"
2155,"Psycho (Psycho, #1)",Robert Bloch,"['Horror', 'Classics', 'Fiction', 'Thriller', 'Mystery', 'Crime', 'Audiobook']"
2156,The Island,Victoria Hislop,"['Historical Fiction', 'Fiction', 'Greece', 'Historical', 'Romance', 'Contemporary', 'Drama']"
2157,"The Hidden Life of Trees: What They Feel, How They Communicate: Discoveries from a Secret World",Peter Wohlleben,"['Nonfiction', 'Science', 'Nature', 'Environment', 'Audiobook', 'Biology', 'Ecology']"
2158,The Taking of Peggy Martin,Karen Glista,"['Thriller', 'Mystery', 'Fiction', 'New Adult', 'Young Adult', 'Contemporary', 'Adult']"
2159,Moon Tiger,Penelope Lively,"['Fiction', 'Historical Fiction', 'Literary Fiction', 'Classics', 'War', 'British Literature', 'Novels']"
2160,The Fever,Megan Abbott,"['Fiction', 'Young Adult', 'Mystery', 'Thriller', 'Horror', 'Contemporary', 'Mystery Thriller']"
2161,Totto-chan: The Little Girl at the Window,Tetsuko Kuroyanagi,"['Nonfiction', 'Childrens', 'Japan', 'Education', 'Biography', 'Japanese Literature', 'Memoir']"
2162,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,"['Nonfiction', 'History', 'Adventure', 'Biography', 'Survival', 'Nature', 'Historical']"
2163,The Trumpet of the Swan,E.B. White,"['Classics', 'Fiction', 'Childrens', 'Animals', 'Fantasy', 'Middle Grade', 'Young Adult']"
2164,The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,"['Nonfiction', 'Science', 'History', 'Environment', 'Nature', 'Biology', 'Climate Change']"
2165,I Contain Multitudes: The Microbes Within Us and a Grander View of Life,Ed Yong,"['Science', 'Nonfiction', 'Biology', 'Health', 'Audiobook', 'Medicine', 'Nature']"
2166,The Essential Neruda: Selected Poems,Pablo Neruda,"['Poetry', 'Classics', 'Spanish Literature', 'Fiction', 'Romance', 'Latin American', 'Literature']"
2167,"The Bone Collector (Lincoln Rhyme, #1)",Jeffery Deaver,"['Mystery', 'Thriller', 'Fiction', 'Crime', 'Mystery Thriller', 'Suspense', 'Detective']"
2168,The Alice Network,Kate Quinn,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'World War II', 'War', 'Adult']"
2169,Sacajawea,Anna Lee Waldo,"['Historical Fiction', 'Fiction', 'Historical', 'American History', 'Westerns', 'Adventure', 'Native Americans']"
2170,"Gabriel's Inferno (Gabriel's Inferno, #1)",Sylvain Reynard,"['Romance', 'Contemporary Romance', 'Contemporary', 'Erotica', 'Adult', 'New Adult', 'Fiction']"
2171,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,"['Romance', 'Erotica', 'Fiction', 'BDSM', 'Adult', 'Contemporary', 'Contemporary Romance']"
2172,The Speed of Life,James Victor Jordan,"['Fiction', 'Novels', 'Contemporary', 'Drama', 'Action', 'Adult', 'Book Club']"
2173,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,"['Nonfiction', 'Sports', 'Baseball', 'Business', 'Economics', 'Biography', 'Audiobook']"
2174,One,Richard Bach,"['Fiction', 'Philosophy', 'Spirituality', 'Fantasy', 'Romance', 'Inspirational', 'Novels']"
2175,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"['Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Productivity', 'Audiobook', 'Business']"
2176,Written on the Body,Jeanette Winterson,"['Fiction', 'LGBT', 'Queer', 'Romance', 'Contemporary', 'Literary Fiction', 'Literature']"
2177,Southern Mystical Moments,Patricia H. Graham,"['Fantasy', 'Fiction', 'Horror']"
2178,"The Oedipus Cycle: Oedipus Rex, Oedipus at Colonus, Antigone",Sophocles,"['Classics', 'Plays', 'Drama', 'Fiction', 'Mythology', 'School', 'Literature']"
2179,The Island of Dr. Moreau,H.G. Wells,"['Classics', 'Science Fiction', 'Fiction', 'Horror', 'Fantasy', 'Literature', '19th Century']"
2180,Stone Butch Blues,Leslie Feinberg,"['Queer', 'Fiction', 'LGBT', 'Feminism', 'Gender', 'Classics', 'Historical Fiction']"
2181,The Runaway Jury,John Grisham,"['Fiction', 'Thriller', 'Mystery', 'Crime', 'Legal Thriller', 'Suspense', 'Mystery Thriller']"
2182,"The Two Princesses of Bamarre (The Two Princesses of Bamarre, #1)",Gail Carson Levine,"['Fantasy', 'Young Adult', 'Middle Grade', 'Fiction', 'Fairy Tales', 'Childrens', 'Romance']"
2183,"Missing Wings (Aranysargas, #1)",Andrea Luhman,"['Fantasy', 'Fantasy Romance', 'Romance', 'High Fantasy', 'Angels', 'Fiction', 'Epic Fantasy']"
2184,Alexander Hamilton,Ron Chernow,"['History', 'Biography', 'Nonfiction', 'American History', 'Politics', 'Audiobook', 'Historical']"
2185,Quo Vadis,Henryk Sienkiewicz,"['Classics', 'Historical Fiction', 'Fiction', 'Polish Literature', 'Historical', 'School', 'Religion']"
2186,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Eric    Weiner,"['Nonfiction', 'Travel', 'Memoir', 'Psychology', 'Humor', 'Philosophy', 'Audiobook']"
2187,Griffin & Sabine (Griffin & Sabine #1),Nick Bantock,"['Fiction', 'Art', 'Fantasy', 'Romance', 'Graphic Novels', 'Mystery', 'Magical Realism']"
2188,"The Eighth Sister (Charles Jenkins, #1)",Robert Dugoni,"['Fiction', 'Thriller', 'Mystery', 'Espionage', 'Mystery Thriller', 'Suspense', 'Audiobook']"
2189,Shrill: Notes from a Loud Woman,Lindy West,"['Nonfiction', 'Memoir', 'Feminism', 'Essays', 'Humor', 'Audiobook', 'Biography']"
2190,Consider the Lobster and Other Essays,David Foster Wallace,"['Nonfiction', 'Essays', 'Philosophy', 'Humor', 'Short Stories', 'Literature', 'American']"
2191,The Library Book,Susan Orlean,"['Nonfiction', 'History', 'Books About Books', 'Audiobook', 'True Crime', 'Adult', 'Historical']"
2192,The Cellist of Sarajevo,Steven Galloway,"['Historical Fiction', 'Fiction', 'War', 'Historical', 'Canada', 'Music', 'Book Club']"
2193,L'Assommoir,Émile Zola,"['Classics', 'Fiction', 'France', 'French Literature', '19th Century', 'Literature', 'Historical Fiction']"
2194,Stories of Your Life and Others,Ted Chiang,"['Short Stories', 'Science Fiction', 'Fiction', 'Fantasy', 'Speculative Fiction', 'Science Fiction Fantasy', 'Anthologies']"
2195,Pleasant Day,Vera Jane Cook,"['Fiction', 'Contemporary', 'Mystery Thriller', 'Novels']"
2196,"Damned (Damned, #1)",Chuck Palahniuk,"['Fiction', 'Fantasy', 'Horror', 'Humor', 'Contemporary', 'Audiobook', 'Novels']"
2197,"Swallows and Amazons (Swallows and Amazons, #1)",Arthur Ransome,"['Classics', 'Fiction', 'Childrens', 'Adventure', 'Young Adult', 'Middle Grade', 'Historical Fiction']"
2198,Notes from a Small Island,Bill Bryson,"['Travel', 'Nonfiction', 'Humor', 'Memoir', 'British Literature', 'Biography', 'Audiobook']"
2199,"Winesburg, Ohio",Sherwood Anderson,"['Fiction', 'Classics', 'Short Stories', 'Literature', 'American', 'Literary Fiction', '20th Century']"
2200,The Good Girl,Mary Kubica,"['Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Suspense', 'Audiobook', 'Crime']"
2201,Women & Power: A Manifesto,Mary Beard,"['Nonfiction', 'Feminism', 'History', 'Essays', 'Politics', 'Womens', 'Gender']"
2202,On the Shortness of Life: Life Is Long if You Know How to Use It,Seneca,"['Philosophy', 'Nonfiction', 'Classics', 'Self Help', 'Essays', 'Psychology', 'Personal Development']"
2203,Carmilla,J. Sheridan Le Fanu,"['Classics', 'Horror', 'Gothic', 'Fiction', 'Vampires', 'Fantasy', 'LGBT']"
2204,"The Great Book of Amber (The Chronicles of Amber, #1-10)",Roger Zelazny,"['Fantasy', 'Fiction', 'Science Fiction', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy', 'Classics']"
2205,"Skulduggery Pleasant (Skulduggery Pleasant, #1)",Derek Landy,"['Fantasy', 'Young Adult', 'Mystery', 'Fiction', 'Urban Fantasy', 'Middle Grade', 'Magic']"
2206,A Vindication of the Rights of Woman,Mary Wollstonecraft,"['Feminism', 'Nonfiction', 'Classics', 'Philosophy', 'History', 'Politics', 'Womens']"
2207,"In the Clearing (Tracy Crosswhite, #3)",Robert Dugoni,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Audiobook', 'Suspense']"
2208,Sultana's Dream,Rokeya Sakhawat Hossain,"['Feminism', 'Short Stories', 'Fiction', 'Science Fiction', 'Classics', 'Fantasy', 'India']"
2209,Better Than Before: Mastering the Habits of Our Everyday Lives,Gretchen Rubin,"['Nonfiction', 'Self Help', 'Personal Development', 'Psychology', 'Audiobook', 'Productivity', 'Health']"
2210,Stumbling on Happiness,Daniel Todd Gilbert,"['Psychology', 'Nonfiction', 'Self Help', 'Science', 'Personal Development', 'Philosophy', 'Business']"
2211,A Murder Is Announced,Agatha Christie,"['Mystery', 'Fiction', 'Crime', 'Classics', 'Mystery Thriller', 'Detective', 'Audiobook']"
2212,"The Midwife: A Memoir of Birth, Joy, and Hard Times",Jennifer Worth,"['Nonfiction', 'Memoir', 'History', 'Biography', 'Historical', 'Audiobook', 'Biography Memoir']"
2213,"The Golem and the Jinni (The Golem and the Jinni, #1)",Helene Wecker,"['Fantasy', 'Historical Fiction', 'Fiction', 'Magical Realism', 'Historical', 'Audiobook', 'Urban Fantasy']"
2214,Civilization and Its Discontents,Sigmund Freud,"['Psychology', 'Philosophy', 'Nonfiction', 'Classics', 'Psychoanalysis', 'Sociology', 'Theory']"
2215,The Ascension of Mary,William  West,[]
2216,"His Majesty's Dragon (Temeraire, #1)",Naomi Novik,"['Fantasy', 'Dragons', 'Historical Fiction', 'Fiction', 'Historical', 'Alternate History', 'Historical Fantasy']"
2217,King of the Wind: The Story of the Godolphin Arabian,Marguerite Henry,"['Fiction', 'Horses', 'Historical Fiction', 'Childrens', 'Animals', 'Classics', 'Young Adult']"
2218,Giovanni's Room,James Baldwin,"['Classics', 'Fiction', 'LGBT', 'Queer', 'Romance', 'Gay', 'Novels']"
2219,"Botanical Shakespeare: An Illustrated Compendium of All the Flowers, Fruits, Herbs, Trees, Seeds, and Grasses Cited by the World's Greatest Playwright",Gerit Quealy,"['Nonfiction', 'Gardening', 'Art', 'Nature', 'Classics', 'Reference', 'Poetry']"
2220,Prozac Nation,Elizabeth Wurtzel,"['Nonfiction', 'Memoir', 'Psychology', 'Mental Health', 'Mental Illness', 'Biography', 'Biography Memoir']"
2221,Baise-Moi,Virginie Despentes,"['Fiction', 'Feminism', 'France', 'Novels', 'Roman', 'French Literature', 'Erotica']"
2222,"Magic Kingdom for Sale/Sold (Magic Kingdom of Landover, #1)",Terry Brooks,"['Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Humor', 'Magic', 'Adventure', 'Young Adult']"
2223,Never Cry Wolf: The Amazing True Story of Life Among Arctic Wolves,Farley Mowat,"['Nonfiction', 'Animals', 'Nature', 'Science', 'Memoir', 'Biography', 'Canada']"
2224,"The One (The Selection, #3)",Kiera Cass,"['Romance', 'Young Adult', 'Dystopia', 'Fantasy', 'Fiction', 'Audiobook', 'Science Fiction']"
2225,Quidditch Through the Ages,Kennilworthy Whisp,"['Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Magic', 'Middle Grade', 'Audiobook']"
2226,"Thin Air (Jessica Shaw, #1)",Lisa    Gray,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Crime', 'Suspense', 'Audiobook']"
2227,"I Feel Bad About My Neck, And Other Thoughts on Being a Woman",Nora Ephron,"['Humor', 'Nonfiction', 'Essays', 'Memoir', 'Audiobook', 'Feminism', 'Womens']"
2228,The Grand Sophy,Georgette Heyer,"['Romance', 'Historical Fiction', 'Historical Romance', 'Historical', 'Fiction', 'Regency', 'Classics']"
2229,As a Man Thinketh,James Allen,"['Self Help', 'Nonfiction', 'Philosophy', 'Personal Development', 'Psychology', 'Classics', 'Spirituality']"
2230,Life Between Seconds,Douglas Weissman,"['Epic', 'Contemporary', 'Fiction', 'Novels']"
2231,أولاد حارتنا,Naguib Mahfouz,"['Fiction', 'Novels', 'Classics', 'Literature', 'Egypt', 'Historical Fiction', 'Africa']"
2232,Fear and Loathing on the Campaign Trail '72,Hunter S. Thompson,"['Nonfiction', 'Politics', 'History', 'Journalism', 'Memoir', 'Humor', 'American History']"
2233,The Book of Lost Things,John Connolly,"['Fantasy', 'Fiction', 'Young Adult', 'Horror', 'Fairy Tales', 'Books About Books', 'Adventure']"
2234,I Miss The World,Violet LeVoit,"['Horror', 'Fiction', 'Crime']"
2235,"Everything, Everything",Nicola Yoon,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Audiobook', 'Young Adult Contemporary']"
2236,"The Cricket in Times Square (Chester Cricket and His Friends, #1)",George Selden,"['Childrens', 'Fiction', 'Classics', 'Fantasy', 'Animals', 'Middle Grade', 'Young Adult']"
2237,Orientalism,Edward W. Said,"['Nonfiction', 'History', 'Philosophy', 'Politics', 'Theory', 'Sociology', 'Anthropology']"
2238,"The Angel's Game (The Cemetery of Forgotten Books, #2)",Carlos Ruiz Zafón,"['Fiction', 'Historical Fiction', 'Mystery', 'Fantasy', 'Spain', 'Books About Books', 'Magical Realism']"
2239,"Penis Politics: A Memoir of Women, Men and Power",Karen  Hinton,['Nonfiction']
2240,The Bookseller of Kabul,Åsne Seierstad,"['Nonfiction', 'Biography', 'Memoir', 'History', 'Travel', 'Books About Books', 'Asia']"
2241,The I Ching or Book of Changes,Anonymous,"['Philosophy', 'Spirituality', 'Religion', 'Nonfiction', 'Classics', 'China', 'Reference']"
2242,Uncle Vanya,Anton Chekhov,"['Plays', 'Classics', 'Drama', 'Russia', 'Fiction', 'Russian Literature', 'Theatre']"
2243,Dr. Faustus,Christopher Marlowe,"['Classics', 'Plays', 'Drama', 'Fiction', 'Fantasy', 'School', 'Theatre']"
2244,"The Drawing of the Three (The Dark Tower, #2)",Stephen King,"['Fantasy', 'Fiction', 'Horror', 'Science Fiction', 'Adventure', 'Westerns', 'Audiobook']"
2245,"Secrets (Secrets, #1)",Julie Mannino,['BDSM']
2246,The Solitaire Mystery,Jostein Gaarder,"['Fiction', 'Philosophy', 'Fantasy', 'Young Adult', 'Mystery', 'Novels', 'Magical Realism']"
2247,The Life-Changing Magic of Not Giving a F*ck: How to Stop Spending Time You Don't Have with People You Don't Like Doing Things You Don't Want to Do (A No F*cks Given Guide),Sarah Knight,"['Nonfiction', 'Self Help', 'Humor', 'Personal Development', 'Audiobook', 'Psychology', 'Mental Health']"
2248,The Trial and Death of Socrates,Plato,"['Philosophy', 'Classics', 'Nonfiction', 'History', 'Biography', 'School', 'Politics']"
2249,"Secrets II (Secrets, #2)",Julie Mannino,"['Fantasy', 'Fantasy Romance', 'LGBT', 'Romance', 'M M Romance']"
2250,Little Red Riding Hood,Julie Mannino,"['Romance', 'Fantasy', 'M M Romance', 'Fantasy Romance', 'Dark Fantasy', 'LGBT', 'Shapeshifters']"
2251,"The Physician (Cole Family Trilogy, #1)",Noah Gordon,"['Historical Fiction', 'Fiction', 'Historical', 'Medieval', 'Adventure', 'Medicine', 'Classics']"
2252,"The Taste of Despair (The Master of Perceptions, #3)",Darin C.  Brown,[]
2253,"Boundless (Unearthly, #3)",Cynthia Hand,"['Young Adult', 'Angels', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Supernatural']"
2254,SPQR: A History of Ancient Rome,Mary Beard,"['History', 'Nonfiction', 'Ancient History', 'Historical', 'Italy', 'Audiobook', 'Classics']"
2255,"Millennium Approaches (Angels in America, #1)",Tony Kushner,"['Plays', 'Drama', 'LGBT', 'Fiction', 'Theatre', 'Queer', 'Classics']"
2256,"Daddy-Long-Legs (Daddy-Long-Legs, #1)",Jean Webster,"['Classics', 'Fiction', 'Young Adult', 'Romance', 'Historical Fiction', 'Childrens', 'Novels']"
2257,"Capital: A Critique of Political Economy, Volume 1",Karl Marx,"['Philosophy', 'Economics', 'Politics', 'Nonfiction', 'History', 'Theory', 'Classics']"
2258,We Were Eight Years in Power: An American Tragedy,Ta-Nehisi Coates,"['Nonfiction', 'Politics', 'History', 'Essays', 'Race', 'Social Justice', 'Audiobook']"
2259,The War of Art: Winning the Inner Creative Battle,Steven Pressfield,"['Nonfiction', 'Writing', 'Self Help', 'Art', 'Business', 'Personal Development', 'Psychology']"
2260,Praise of Folly,Erasmus,"['Philosophy', 'Classics', 'Nonfiction', 'Religion', 'Literature', 'Essays', 'History']"
2261,Shake Hands with the Devil,Roméo Dallaire,"['Nonfiction', 'History', 'Africa', 'Politics', 'War', 'Biography', 'Memoir']"
2262,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,"['Nonfiction', 'Business', 'Psychology', 'Leadership', 'Self Help', 'Personal Development', 'Management']"
2263,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"['Fiction', 'Epic Fantasy', 'High Fantasy', 'Adult', 'Fantasy', 'Audiobook', 'Magic']"
2264,"Bitterblue (Graceling Realm, #3)",Kristin Cashore,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Young Adult Fantasy', 'High Fantasy', 'Magic']"
2265,"Lost in Shangri-la: A True Story of Survival, Adventure, and the Most Incredible Rescue Mission of World War II",Mitchell Zuckoff,"['Nonfiction', 'History', 'World War II', 'War', 'Adventure', 'Military Fiction', 'Survival']"
2266,The Creep,Chriselda Barretto,"['Poetry', 'Adult', 'Fiction', 'Contemporary', 'New Adult', 'Young Adult', 'Novels']"
2267,Apathy and Other Small Victories,Paul Neilan,"['Fiction', 'Humor', 'Comedy', 'Mystery', 'Contemporary', 'Novels', 'Crime']"
2268,"The Touch: A Supernatural Story (The Touch, #1)",Robert Flynn III,"['Fiction', 'Fantasy', 'Young Adult', 'Adventure', 'Religion', 'Supernatural', 'New Adult']"
2269,Burial Rites,Hannah Kent,"['Historical Fiction', 'Fiction', 'Historical', 'Mystery', 'Crime', 'Adult', 'Literary Fiction']"
2270,Lift: Five Practices Great Managers Do Consistently: Raise Performance and Morale - See Your Employees Thrive,Raymond   Wheeler,"['Nonfiction', 'How To', 'Business', 'Self Help', 'Book Club']"
2271,Shortcuts Get You Lost: A Leadership Fable on the Dangers of the Blind Leading the Blind,Mark Villareal,[]
